,Name,Price,Year,Make,Model,Body Type
186,audi a8,95395,2008,audi,a8,sedan
187,audi q7,50550,2008,audi,q7,sport utility
188,audi r8,113500,2008,audi,r8,convertible
189,audi rs 4,74405,2008,audi,rs 4,convertible
190,audi s4,53292,2008,audi,s4,sedan
191,audi s5,51150,2008,audi,s5,convertible
192,audi s6,72350,2008,audi,s6,sedan
193,audi s8,93300,2008,audi,s8,sedan
194,audi tt,40350,2008,audi,tt,convertible
195,audi a3,31947,2009,audi,a3,convertible
196,audi a4,39750,2009,audi,a4,wagon
197,audi a5,41350,2009,audi,a5,convertible
198,audi a6,53025,2009,audi,a6,sedan
199,audi a8,97075,2009,audi,a8,sedan
200,audi q5,37200,2009,audi,q5,sport utility
201,audi q7,51360,2009,audi,q7,sport utility
202,audi r8,118750,2009,audi,r8,convertible
203,audi s4,57725,2009,audi,s4,sedan
204,audi s5,52050,2009,audi,s5,convertible
205,audi s6,75900,2009,audi,s6,sedan
206,audi s8,96200,2009,audi,s8,sedan
207,audi tt,40870,2009,audi,tt,convertible
208,audi tts,46500,2009,audi,tts,coupe
209,audi a3,29060,2010,audi,a3,convertible
210,audi a4,33400,2010,audi,a4,wagon
211,audi a5,40050,2010,audi,a5,convertible
212,audi a6,52175,2010,audi,a6,sedan
213,audi a8,76475,2010,audi,a8,sedan
214,audi q5,37350,2010,audi,q5,sport utility
215,audi q7,53950,2010,audi,q7,sport utility
216,audi r8,134650,2010,audi,r8,convertible
217,audi s4,46600,2010,audi,s4,sedan
218,audi s5,55325,2010,audi,s5,convertible
219,audi s6,76100,2010,audi,s6,sedan
220,audi tt,39300,2010,audi,tt,convertible
221,audi tts,47400,2010,audi,tts,coupe
222,audi a3,29060,2011,audi,a3,convertible
223,audi a4,34300,2011,audi,a4,wagon
224,audi a5,40775,2011,audi,a5,convertible
225,audi a6,52175,2011,audi,a6,sedan
226,audi a8,81025,2011,audi,a8,sedan
227,audi q5,38850,2011,audi,q5,sport utility
228,audi q7,52850,2011,audi,q7,sport utility
229,audi r8,143500,2011,audi,r8,convertible
230,audi s4,47800,2011,audi,s4,sedan
231,audi s5,56350,2011,audi,s5,convertible
232,audi s6,76100,2011,audi,s6,sedan
233,audi tt,39800,2011,audi,tt,convertible
234,audi tts,48500,2011,audi,tts,coupe
235,audi a3,29060,2012,audi,a3,convertible
236,audi a4,34450,2012,audi,a4,wagon
237,audi a5,40900,2012,audi,a5,convertible
238,audi a6,45800,2012,audi,a6,sedan
239,audi a7,59250,2012,audi,a7,hatchback
240,audi a8,106125,2012,audi,a8,sedan
241,audi q5,39300,2012,audi,q5,sport utility
242,audi q7,53100,2012,audi,q7,sport utility
243,audi r8,162250,2012,audi,r8,convertible
244,audi s4,48000,2012,audi,s4,sedan
245,audi s5,61900,2012,audi,s5,convertible
246,audi tt,39800,2012,audi,tt,convertible
247,audi tt rs,56850,2012,audi,tt rs,coupe
248,audi tts,48500,2012,audi,tts,coupe
249,audi a3,29060,2013,audi,a3,convertible
250,audi a4,33550,2013,audi,a4,wagon
251,audi a5,41650,2013,audi,a5,convertible
252,audi a6,46300,2013,audi,a6,sedan
253,audi a7,60100,2013,audi,a7,hatchback
254,audi a8,103350,2013,audi,a8,sedan
255,audi q5,43400,2013,audi,q5,sport utility
256,audi q7,53675,2013,audi,q7,sport utility
257,audi rs 5,73400,2013,audi,rs 5,coupe
258,audi s4,48300,2013,audi,s4,sedan
259,audi s5,55100,2013,audi,s5,convertible
260,audi s6,71900,2013,audi,s6,sedan
261,audi s7,78800,2013,audi,s7,hatchback
262,audi s8,110000,2013,audi,s8,sedan
263,audi tt,40150,2013,audi,tt,convertible
264,audi tt rs,57200,2013,audi,tt rs,coupe
265,audi tts,48850,2013,audi,tts,coupe
266,audi allroad,39600,2013,audi,allroad,wagon
267,audi a4,34850,2014,audi,a4,wagon
268,audi a5,42800,2014,audi,a5,convertible
269,audi a6,50300,2014,audi,a6,sedan
270,audi a7,65700,2014,audi,a7,hatchback
271,audi a8,105500,2014,audi,a8,sedan
272,audi q5,44300,2014,audi,q5,sport utility
273,audi q7,54300,2014,audi,q7,sport utility
274,audi r8,147272,2014,audi,r8,convertible
275,audi rs 5,73750,2014,audi,rs 5,coupe
276,audi rs 7,104900,2014,audi,rs 7,hatchback
277,audi s4,48800,2014,audi,s4,sedan
278,audi s5,56200,2014,audi,s5,convertible
279,audi s6,73400,2014,audi,s6,sedan
280,audi s7,80200,2014,audi,s7,hatchback
281,audi s8,112500,2014,audi,s8,sedan
282,audi sq5,51900,2014,audi,sq5,sport utility
283,audi tt,41400,2014,audi,tt,convertible
284,audi tts,50200,2014,audi,tts,coupe
285,audi allroad,40700,2014,audi,allroad,wagon
286,audi a3,34250,2015,audi,a3,convertible
287,audi a4,36550,2015,audi,a4,wagon
288,audi a5,43800,2015,audi,a5,convertible
289,audi a6,51750,2015,audi,a6,sedan
290,audi a7,67100,2015,audi,a7,hatchback
291,audi a8,107650,2015,audi,a8,sedan
292,audi q3,33550,2015,audi,q3,sport utility
293,audi q5,45600,2015,audi,q5,sport utility
294,audi q7,55100,2015,audi,q7,sport utility
295,audi r8,157900,2015,audi,r8,convertible
296,audi rs 5,75050,2015,audi,rs 5,coupe
297,audi rs 7,106500,2015,audi,rs 7,hatchback
298,audi s3,41100,2015,audi,s3,sedan
299,audi s4,49100,2015,audi,s4,sedan
300,audi s5,56700,2015,audi,s5,convertible
301,audi s6,75500,2015,audi,s6,sedan
302,audi s7,82500,2015,audi,s7,hatchback
303,audi s8,114900,2015,audi,s8,sedan
304,audi sq5,52700,2015,audi,sq5,sport utility
305,audi tt,41850,2015,audi,tt,convertible
306,audi tts,50200,2015,audi,tts,coupe
307,audi allroad,42400,2015,audi,allroad,wagon
308,audi a3,35250,2016,audi,a3,convertible
309,audi a4,36950,2016,audi,a4,wagon
310,audi a5,44200,2016,audi,a5,convertible
311,audi a6,52850,2016,audi,a6,sedan
312,audi a7,69350,2016,audi,a7,hatchback
313,audi a8,109700,2016,audi,a8,sedan
314,audi q3,34750,2016,audi,q3,sport utility
315,audi q5,46700,2016,audi,q5,sport utility
316,audi rs 7,118950,2016,audi,rs 7,hatchback
317,audi s3,42500,2016,audi,s3,sedan
318,audi s4,49700,2016,audi,s4,sedan
319,audi s5,57100,2016,audi,s5,convertible
320,audi s6,70900,2016,audi,s6,sedan
321,audi s7,82900,2016,audi,s7,hatchback
322,audi s8,114900,2016,audi,s8,sedan
323,audi sq5,53300,2016,audi,sq5,sport utility
324,audi tt,44650,2016,audi,tt,convertible
325,audi tts,51900,2016,audi,tts,coupe
326,audi allroad,42700,2016,audi,allroad,wagon
327,audi a3,35750,2017,audi,a3,convertible
328,audi a4,39450,2017,audi,a4,wagon
329,audi a5,44900,2017,audi,a5,convertible
330,audi a6,57600,2017,audi,a6,sedan
331,audi a7,72675,2017,audi,a7,hatchback
332,audi a8,87000,2017,audi,a8,sedan
333,audi q3,32850,2017,audi,q3,sport utility
334,audi q5,43650,2017,audi,q5,sport utility
335,audi q7,52250,2017,audi,q7,sport utility
336,audi r8,176400,2017,audi,r8,convertible
337,audi rs 3,54500,2017,audi,rs 3,sedan
338,audi rs 7,120100,2017,audi,rs 7,hatchback
339,audi s3,42900,2017,audi,s3,sedan
340,audi s5,57100,2017,audi,s5,convertible
341,audi s6,70900,2017,audi,s6,sedan
342,audi s7,79900,2017,audi,s7,hatchback
343,audi s8,115900,2017,audi,s8,sedan
344,audi sq5,53300,2017,audi,sq5,sport utility
345,audi tt,45250,2017,audi,tt,convertible
346,audi tts,52500,2017,audi,tts,coupe
347,audi a3,37350,2018,audi,a3,convertible
348,audi a4,41600,2018,audi,a4,wagon
349,audi a5,46100,2018,audi,a5,convertible
350,audi a6,53850,2018,audi,a6,sedan
351,audi a7,69700,2018,audi,a7,hatchback
352,audi a8,87250,2018,audi,a8,sedan
353,audi q3,34450,2018,audi,q3,sport utility
354,audi q5,42800,2018,audi,q5,sport utility
355,audi q7,53150,2018,audi,q7,sport utility
356,audi r8,173400,2018,audi,r8,convertible
357,audi rs 3,54900,2018,audi,rs 3,sedan
358,audi rs 5,69900,2018,audi,rs 5,coupe
359,audi rs 7,122300,2018,audi,rs 7,hatchback
